Facility_No,Hospital_name,Address,City,Zip,long,lat,County,COUNTYFP,No_of_beds,No_of_physicians,Hospitalization_rate
1,Palestine Regional Medical Center,"2900 S Loop 256,Palestine,TX",Palestine,75801,-95.6280207,31.7327337,Anderson,001,1496,52,46.96%
2,Methodist Hospital South,"1905 Texas Hwy 97,Jourdanton,TX",Jourdanton,78026,-98.5260352,28.9331124,Atascosa,013,135,52,82.89%
3,Seton Smithville Regional Hospital,"800 Highway 71 E,Smithville,TX",Smithville,78957,-97.1360218,30.0039505,Bastrop,021,2770,183,42.50%
4,CHRISTUS Spohn Hospital Beeville,"1500 E Houston Hwy,Beeville,TX",Beeville,78102,-97.731517,28.4075183,Bee,025,2379,101,72.59%
5,Scott and White Temple Pavillion,"1815 South 31st Street,Temple,TX",Temple,76504,-97.3627292,31.0826238,Bell,027,2958,148,35.46%
6,Scott & White Continuing Care Hospital,"546 N Kegley Rd,Temple,TX",Temple,76502,-97.39944,31.117809,Bell,027,1470,166,13.66%
7,Metroplex Hospital,"2201 S Clear Creek Rd,Killeen,TX",Killeen,76549,-97.8007561,31.1132607,Bell,027,2710,76,35.06%
8,Scott & White Memorial Hospital,"2401 S 31st St,Temple,TX",Temple,76508,-97.3639792,31.0776472,Bell,027,2735,181,22.72%
11,McLane Children's Hospital Scott & White,"1901 SW H K Dodgen Loop,Temple,TX",Temple,76502,-97.3755467,31.0726368,Bell,027,555,27,34.90%
12,University Health System Surgery Center,"8300 Floyd Curt Drive,San Antonio,TX",San Antonio,78229,-98.5812018,29.5157508,Bexar,029,1348,59,76.41%
13,Methodist Stone Oak Hospital,"1139 E Sonterra Blvd,San Antonio,TX",San Antonio,78258,-98.4743864,29.6162229,Bexar,029,1078,144,78.87%
14,CHRISTUS Santa Rosa Hospital - Westover Hill,"11212 State Highway 151,San Antonio,TX",San Antonio,78251,-98.6963686,29.4668317,Bexar,029,1124,74,30.90%
15,CHRISTUS Santa Rosa - Alamo Heights,"403 Treeline Park,San Antonio,TX",San Antonio,78209,-98.476144,29.5058195,Bexar,029,1307,189,76.84%
16,Baptist Emergency Hospital Thousand Oaks,"16088 San Pedro Ave,San Antonio,TX",San Antonio,78232,-98.4734862,29.5878278,Bexar,029,565,57,29.12%
17,Baptist Emergency Hospital Hausman,"8230 N 1604 W,San Antonio,TX",San Antonio,78249,-98.6491014,29.5709044,Bexar,029,1483,81,32.11%
18,Baptist Emergency Hospital Westover Hills,"10811 Town Center Dr,San Antonio,TX",San Antonio,78251,-98.6899303,29.4617704,Bexar,029,176,78,83.14%
19,Baptist Emergency Hospital Overlook,"25615 N Us Hwy 281,San Antonio,TX",San Antonio,78258,-98.4552139,29.6809155,Bexar,029,2766,75,78.10%
20,Kindred Hospital San Antonio,"3636 Medical Dr,,TX",,78229,-98.5565222,29.5225164,Bexar,029,1884,198,38.32%
21,Methodist Hospital,"7700 Floyd Curl Dr,San Antonio,TX",San Antonio,78229,-98.5721936,29.5078773,Bexar,029,2314,88,70.74%
22,Baptist Medical Center,"111 Dallas St,San Antonio,TX",San Antonio,78205,-98.4927788,29.4337636,Bexar,029,390,48,38.26%
23,Methodist TexSAN Hospital,"6700 W Ih 10,San Antonio,TX",San Antonio,78201,-98.5475403,29.4898203,Bexar,029,675,52,61.68%
24,St. Luke's Baptist Hospital,"7930 Floyd Curl Dr,San Antonio,TX",San Antonio,78229,-98.5745483,29.5123587,Bexar,029,2722,48,2.62%
25,Nix Health Care System,"414 Navarro St,San Antonio,TX",San Antonio,78205,-98.4895201,29.4255116,Bexar,029,98,123,7.86%
26,Methodist Specialty & Transplant Hospital,"8026 Floyd Curl Dr,San Antonio,TX",San Antonio,78229,-98.576149,29.5140654,Bexar,029,1035,138,1.28%
27,Northeast Methodist Hospital,"12412 Judson Rd,San Antonio,TX",San Antonio,78233,-98.3479862,29.5525384,Bexar,029,2910,55,36.03%
28,University Health System,"4502 Medical Dr,San Antonio,TX",San Antonio,78229,-98.5774875,29.5071407,Bexar,029,2251,142,96.14%
29,IASIS Southwest General Hospital,"7400 Barlite Blvd,San Antonio,TX",San Antonio,78224,-98.5454083,29.3532906,Bexar,029,1602,23,86.79%
30,Metropolitan Methodist Hospital,"1310 McCullough Ave,San Antonio,TX",San Antonio,78212,-98.4910208,29.4408508,Bexar,029,326,102,69.93%
31,Northeast Baptist Hospital,"8811 Village Dr,San Antonio,TX",San Antonio,78217,-98.429132,29.5200142,Bexar,029,1410,100,62.35%
32,Mission Trail Baptist Hospital,"3333 Research Plaza,San Antonio,TX",San Antonio,78235,-98.4383449,29.3446085,Bexar,029,68,83,33.12%
33,North Central Baptist Hospital,"520 Madison Oak Dr,San Antonio,TX",San Antonio,78258,-98.4914012,29.6205416,Bexar,029,1578,47,5.10%
34,CHRISTUS Santa Rosa Medical Center,"2827 Babcock Rd,San Antonio,TX",San Antonio,78229,-98.5900455,29.5131098,Bexar,029,833,13,74.54%
35,Methodist Ambulatory Surgery Hospital Northwest,"9150 Huebner Rd,San Antonio,TX",San Antonio,78240,-98.5950259,29.5269961,Bexar,029,2056,186,18.92%
36,Children's Hospital of San Antonio,"333 N Santa Rosa St,San Antonio,TX",San Antonio,78207,-98.4982673,29.4281027,Bexar,029,660,89,96.93%
37,Robert B Green Ambulatory Surgery Center,"903 W Martin,San Antonio,TX",San Antonio,78207,-98.5015692,29.4309066,Bexar,029,2406,102,83.00%
38,Methodist Stone Oak Fertility Surgery Center,"18707 Hardy Oak Blve,San Antonio,TX",San Antonio,78258,-98.4783303,29.6163299,Bexar,029,738,106,35.02%
39,Wadley Regional Medical Center,"1000 Pine St,Texarkana,TX",Texarkana,75501,-94.0468687,33.4279259,Bowie,037,1690,138,22.96%
40,CHRISTUS St. Michael Health System,"2600 St Michael Dr,Texarkana,TX",Texarkana,75501,-94.0754547,33.4638683,Bowie,037,942,154,52.33%
41,CHRISTUS Saint Michael Rehabilitation Hospital,"2400 Saint Michael Dr,Texarkana,TX",Texarkana,75503,-94.070983,33.464425,Bowie,037,2362,87,55.95%
42,Pearland Medical Center,"11100 Shadow Creek Pkwy,Pearland,TX",Pearland,77584,-95.390408,29.5772333,Brazoria,039,304,198,52.56%
43,Memorial Hermann - Pearland,"16100 South Freeway,Pearland,TX",Pearland,77584,-95.3888393,29.5637751,Brazoria,039,492,27,73.51%
44,Brazosport Regional Health System,"100 Medical Dr,Lake Jackson,TX",Lake Jackson,77566,-95.4527189,29.0295851,Brazoria,039,291,100,32.15%
45,Sweeny Community Hospital,"305 N McKinney St,,TX",,77480,-95.6917378,29.0478738,Brazoria,039,1004,200,57.43%
46,Angleton Danbury Medical Center,"132 Hospital Dr,Angleton,TX",Angleton,77515,-95.4047155,29.1847443,Brazoria,039,456,93,2.01%
47,Scott & White College Station Hospital,"700 Scott and White Drive,College Station,TX",College Station,77845,-96.279247,30.5823146,Brazos,041,739,109,81.61%
48,St. Joseph Regional Health Center,"2801 Franciscan Dr,Bryan,TX",Bryan,77802,-96.346709,30.6559292,Brazos,041,2678,74,91.05%
49,College Station Medical Center,"1604 Rock Prairie Rd,College Station,TX",College Station,77845,-96.289711,30.5812822,Brazos,041,1230,49,40.01%
50,Burleson St. Joseph Health Center,"1101 Woodson Dr,Caldwell,TX",Caldwell,77836,-96.7164547,30.5202339,Burleson,051,188,118,61.94%
51,Baylor Scott & White Hospital - Marble Falls,"810 W Highway 71,Marble Falls,TX",Marble Falls,78654,-98.304654,30.5115117,Burnet,053,644,13,68.21%
52,Seton Highland Lakes,"Hwy 281 S,Burnet,TX",Burnet,78611,-98.2287597,30.758167,Burnet,053,44,24,19.93%
53,Memorial Medical Center - Port Lavaca,"815 N Virginia St,Port Lavaca,TX",Port Lavaca,77979,-96.6321635,28.620326,Calhoun,057,1775,33,37.51%
54,Valley Baptist Medical Center,"2101 Pease St,Harlingen,TX",Harlingen,78550,-97.6705186,26.1746446,Cameron,061,1798,126,37.75%
55,Harlingen Medical Center,"5501 S Expressway 77,Harlingen,TX",Harlingen,78550,-97.6750857,26.1576482,Cameron,061,576,109,73.76%
56,Valley Baptist Medical Center - Brownsville,"1040 W Jefferson St,Brownsville,TX",Brownsville,78520,-97.5109748,25.9180366,Cameron,061,1600,92,49.70%
57,Valley Regional Medical Center,"100A E Alton Gloor Blvd,Brownsville,TX",Brownsville,78526,-97.5146917,25.9783925,Cameron,061,2496,137,28.11%
58,East Texas Medical Center - Pittsburg,"414 Quitman St,Pittsburg,TX",Pittsburg,75686,-94.9737596,32.9987133,Camp,063,1628,183,96.99%
59,CHRISTUS St. Michael Hospital Atlanta,"1007 S Williams St,Atlanta,TX",Atlanta,75551,-94.1634445,33.1055893,Cass,067,226,78,16.82%
60,East Texas Medical Center - Clarksville,"3000 W Main,,TX",,75551,-94.2137619,33.1008997,Cass,067,1282,23,38.90%
61,Mother Frances Hospital - Jacksonville,"2026 S Jackson St,Jacksonville,TX",Jacksonville,75766,-95.2477966,31.9384049,Cherokee,073,1288,41,13.17%
62,East Texas Medical Center - Jacksonville,"501 S Ragsdale St,Jacksonville,TX",Jacksonville,75766,-95.270566,31.9602405,Cherokee,073,2249,188,94.84%
63,Scott & White Ambulatory Surgery Center,"1600 University Dr,,TX",,75013,-96.716831,33.0885328,Collin,085,2615,101,67.86%
64,Baylor Medical Center at Frisco,"5601 Warren Pkwy,,TX",,75034,-96.8375358,33.1052,Collin,085,1257,93,2.19%
65,The Heart Hospital of Baylor Plano,"1100 Allied Drive,,TX",,75093,-96.7897247,33.0147787,Collin,085,1471,43,90.23%
66,Rice Medical Center,"600 S Austin Rd,Eagle Lake,TX",Eagle Lake,77434,-96.3452913,29.5876653,Colorado,089,557,35,11.97%
67,Resolute Health,"555 Creekside Crossing,New Braunfels,TX",New Braunfels,78130,-98.0695914,29.7206131,Comal,091,1871,86,60.81%
68,CHRISTUS Santa Rosa Hospital New Braunfels,"600 N Union Ave,New Braunfels,TX",New Braunfels,78130,-98.1231889,29.7153753,Comal,091,1458,128,71.52%
69,Coryell Memorial Hospital,"1507 W Main St,Gatesville,TX",Gatesville,76528,-97.779125,31.434971,Coryell,099,2524,32,90.21%
70,Dallas LTACH,"8050 Meadow Rd,,TX",,75231,-96.7673837,32.8869279,Dallas,113,554,69,95.71%
71,Kindred Hospital White Rock,"9440 Poppy Dr,,TX",,75218,-96.7052017,32.8344592,Dallas,113,2654,51,33.08%
72,Dallas Regional Medical Center,"1011 N Galloway Ave,Mesquite,TX",Mesquite,75149,-96.6004473,32.7784533,Dallas,113,2910,139,6.78%
73,South Hampton Community Hospital,"2929 S Hampton Rd,,TX",,75233,-96.8580011,32.714526,Dallas,113,2393,143,3.85%
74,Baylor University Medical Center,"3500 Gaston Ave,,TX",,75246,-96.7805934,32.7899377,Dallas,113,2466,109,69.08%
75,Dallas Medical Center,"7 Medical Pkwy,Dallas,TX",Dallas,75234,-96.8699913,32.9154581,Dallas,113,1471,101,46.64%
76,Kindred Hospital Dallas,"9525 Greenville Ave,,TX",,75243,-96.7488138,32.9054653,Dallas,113,1921,127,98.16%
77,Baylor Hamilton Heart and Vascular Hospital,"621 N Hall St,,TX",,75146,-96.759367,32.5973895,Dallas,113,1322,118,36.53%
78,Baylor Medical Center at Carrollton,"4343 N Josey Ln,,TX",,75010,-96.8859593,33.0284435,Denton,121,275,36,88.49%
79,Eastland Memorial Hospital,"304 S Daugherty Ave,Eastland,TX",Eastland,76448,-98.8210299,32.4000272,Eastland,133,2660,91,58.04%
80,Odessa Regional Medical Center South Campus,"900 E 4th St,Odessa,TX",Odessa,79761,-102.3595871,31.8516822,Ector,135,1144,148,71.44%
81,Medical Center Health System,"500 W 4th St,Odessa,TX",Odessa,79761,-102.3736853,31.8452597,Ector,135,848,162,58.38%
82,Odessa Regional Medical Center,"520 E 6th St,Odessa,TX",Odessa,79761,-102.3651355,31.8513691,Ector,135,267,186,65.32%
83,Sierra Providence East Medical Center,"3280 Joe Battle Blvd,El Paso,TX",El Paso,79938,-106.2645126,31.7904799,El Paso,141,932,92,35.07%
84,Hospitals of Providence - Transmountain Campus,"2000 Transmountain Road,El Paso,TX",El Paso,79911,-106.5650364,31.9053405,El Paso,141,1504,101,18.54%
85,Del Sol Medical Center,"10301 Gateway W,El Paso,TX",El Paso,79925,-106.3495064,31.756534,El Paso,141,2655,142,87.13%
86,Sierra Medical Center,"1625 Medical Center St,El Paso,TX",El Paso,79902,-106.4808963,31.7776439,El Paso,141,234,61,11.04%
87,Providence Memorial Hospital,"2001 N Oregon St,El Paso,TX",El Paso,79902,-106.5007988,31.7699879,El Paso,141,2705,184,18.86%
88,University Medical Center of El Paso,"4815 Alameda Ave,El Paso,TX",El Paso,79905,-106.4344878,31.7714531,El Paso,141,2693,57,93.71%
89,Las Palmas Medical Center,"1801 N Oregon St,El Paso,TX",El Paso,79902,-106.4990287,31.7699621,El Paso,141,2541,195,60.32%
90,El Paso Children's Hospital,"4845 Alameda  Ave,El Paso,TX",El Paso,79905,-106.4339462,31.7713503,El Paso,141,1192,118,78.65%
91,Waxahachie Surgery Center,"1324 Brown Street,,TX",,75165,-96.8327765,32.410088,Ellis,139,1119,93,7.15%
92,Fort Bend Surgery Center,"14851 Southwest Fwy,Sugar Land,TX",Sugar Land,77478,-95.6082078,29.6102563,Fort Bend,157,1957,58,13.76%
93,St. Luke's Sugar Land Hospital,"1317 Lake Pointe Pkwy,,TX",,77478,-95.62025,29.604719,Fort Bend,157,1021,133,11.22%
94,Oakbend Medical Center - William Way Campus,"22003 South West Freeway,Richmond,TX",Richmond,77469,-95.7138677,29.5550873,Fort Bend,157,2820,50,55.59%
95,Houston Methodist Sugar Land Hospital,"16655 Southwest Fwy,Sugar Land,TX",Sugar Land,77479,-95.6311215,29.5890748,Fort Bend,157,2004,47,37.32%
96,Memorial Hermann Sugar Land Hospital,"17500 W Grand Pkwy S,Sugar Land,TX",Sugar Land,77479,-95.6899231,29.5648769,Fort Bend,157,1049,90,21.58%
97,OakBend Medical Center,"1705 Jackson St,Richmond,TX",Richmond,77469,-95.770572,29.576525,Fort Bend,157,611,90,59.82%
98,Hospital for Surgical Excellence at Oakbend Medical Center,"1211 Hwy 6,Sugar Land,TX",Sugar Land,77478,-95.6361437,29.6051324,Fort Bend,157,2718,39,22.79%
99,East Texas Medical Center - Mount Vernon,"500 Hwy 37 S,,TX",,75457,-95.2345798,33.1768433,Franklin,159,274,103,2.08%
100,East Texas Medical Center - Fairfield,"125 Newman St,,TX",,75840,-96.1708793,31.7256143,Freestone,161,428,156,58.42%
101,Frio Regional Hospital,"200 S IH 35,Pearsall,TX",Pearsall,78061,-99.1097327,28.8881303,Frio,163,49,156,36.41%
102,Mainland Medical Center,"6801 Emmett F Lowry Expy,Texas City,TX",Texas City,77591,-94.9856691,29.3954621,Galveston,167,800,13,1.24%
103,The University of Texas Medical Branch,"301 University Blvd,Galveston,TX",Galveston,77550,-94.7758738,29.3107498,Galveston,167,1290,139,3.48%
104,UTMB League City Campus,"2240 Gulf Fwy S,League City,TX",League City,77573,-95.0990804,29.4809338,Galveston,167,2056,113,74.14%
105,Peterson Regional Ambulatory Surgery Center,"260 Cully Drive,,TX",,78028,-99.1508907,30.0425899,Gillespie,171,819,15,70.54%
106,Hill Country Memorial Hospital,"1020 S State Highway 16,Fredericksburg,TX",Fredericksburg,78624,-98.880174,30.262904,Gillespie,171,2918,52,70.11%
107,Pampa Regional Medical Center,"1 Medical Plz,Pampa,TX",Pampa,79065,-100.9646846,35.5723696,Gray,179,1841,23,99.27%
108,PSC of Longview Regional Medical Center,"1404 N 4th St,Longview,TX",Longview,75601,-94.7294654,32.5135838,Gregg,183,311,124,85.07%
109,Longview Regional Medical Center,"2901 N 4th St,Longview,TX",Longview,75605,-94.7301099,32.5328357,Gregg,183,1861,145,10.13%
110,Grimes St. Joseph Health Center,"210 S Judson St,Navasota,TX",Navasota,77868,-96.0776415,30.3925839,Grimes,185,222,14,31.69%
111,Baptist Emergency Hospital Schertz,"16977 I-35 N,Schertz,TX",Schertz,78154,-98.2901866,29.5943444,Guadalupe,187,1993,148,58.79%
112,Seton Edgar B. Davis Hospital,"130 Hays St,Luling,TX",Luling,78648,-97.654459,29.673084,Guadalupe,187,403,80,32.85%
113,Guadalupe Regional Medical Center,"1215 E Court St,Seguin,TX",Seguin,78155,-97.9465307,29.5680547,Guadalupe,187,51,152,77.73%
114,Covenant Hospital Plainview,"2601 Dimmit Rd,Plainview,TX",Plainview,79072,-101.7326554,34.2065762,Hale,189,2664,58,57.59%
115,Victory Surgery Hospital East Houston,"12950 East Freeway,,TX",,77015,-95.2003654,29.7706117,Harris,201,255,138,56.94%
116,Medical Complex Surgery Center,"13500 Medical Complex Surgery,Tomball,TX",Tomball,77375,-95.626628,30.085343,Harris,201,2280,106,78.10%
117,Outpatient Center,"5550 Kelley Street,Houston,TX",Houston,77026,-95.3119522,29.8119216,Harris,201,1498,173,35.68%
118,East Houston Regional Medical Center,"13111 East Fwy,Houston,TX",Houston,77015,-95.1934762,29.7725228,Harris,201,573,140,2.95%
119,Memorial Hermann Cypress Hospital,"27700 Northwest Freeway,Cypress,TX",Cypress,77433,-95.7317718,29.9863914,Harris,201,748,69,2.67%
120,Houston Methodist West Hospital,"18500 Katy Fwy,Houston,TX",Houston,77094,-95.6977245,29.7872447,Harris,201,16,100,20.98%
121,St Luke's Hospital of the Vintage,"20171 Chasewood Park Dr,,TX",,77070,-95.5674709,29.9893519,Harris,201,727,18,24.10%
122,St Joseph Medical Center In The Heights,"1917 Ashland St,Houston,TX",Houston,77008,-95.4041813,29.8035807,Harris,201,1359,60,28.69%
