Score Type	Year	Number of Records	Score Value
Composite Score	1991	1	20.6
Composite Score	1992	1	20.6
Composite Score	1993	1	20.7
Composite Score	1994	1	20.8
Composite Score	1995	1	20.8
Composite Score	1996	1	20.9
Composite Score	1997	1	21
Composite Score	1998	1	21
Composite Score	1999	1	21
Composite Score	2000	1	21
Composite Score	2001	1	21
Composite Score	2002	1	20.8
Composite Score	2003	1	20.8
Composite Score	2004	1	20.9
Composite Score	2005	1	20.9
Composite Score	2006	1	21.1
Composite Score	2007	1	21.2
Composite Score	2008	1	21.1
Composite Score	2009	1	21.1
Composite Score	2010	1	21
Composite Score	2011	1	21.1
Composite Score	2012	1	21.1
Composite Score	2013	1	20.9
Composite Score	2014	1	21
Composite Score	2015	1	21
Math Score	1991	1	20
Math Score	1992	1	20
Math Score	1993	1	20.1
Math Score	1994	1	20.2
Math Score	1995	1	20.2
Math Score	1996	1	20.2
Math Score	1997	1	20.6
Math Score	1998	1	20.8
Math Score	1999	1	20.7
Math Score	2000	1	20.7
Math Score	2001	1	20.7
Math Score	2002	1	20.6
Math Score	2003	1	20.6
Math Score	2004	1	20.7
Math Score	2005	1	20.7
Math Score	2006	1	20.8
Math Score	2007	1	21
Math Score	2008	1	21
Math Score	2009	1	21
Math Score	2010	1	21
Math Score	2011	1	21.1
Math Score	2012	1	21.1
Math Score	2013	1	20.9
Math Score	2014	1	20.9
Math Score	2015	1	20.8
Reading Score	1991	1	21.2
Reading Score	1992	1	21.1
Reading Score	1993	1	21.2
Reading Score	1994	1	21.2
Reading Score	1995	1	21.3
Reading Score	1996	1	21.3
Reading Score	1997	1	21.3
Reading Score	1998	1	21.4
Reading Score	1999	1	21.4
Reading Score	2000	1	21.4
Reading Score	2001	1	21.3
Reading Score	2002	1	21.1
Reading Score	2003	1	21.2
Reading Score	2004	1	21.3
Reading Score	2005	1	21.3
Reading Score	2006	1	21.4
Reading Score	2007	1	21.5
Reading Score	2008	1	21.4
Reading Score	2009	1	21.4
Reading Score	2010	1	21.3
Reading Score	2011	1	21.3
Reading Score	2012	1	21.3
Reading Score	2013	1	21.1
Reading Score	2014	1	21.3
Reading Score	2015	1	21.4
